"NBa7we src","d4r55","RfnDt","eaLgGf","hCCjke","rsqaWe","wiI7pd","w8nwRe","dSlJg","Hzvxle","pkWtMe","dSlJg 2","znYl0","uEubGf","bC3Nkc"
"https://lh3.googleusercontent.com/a/ACg8ocKdiVHiBVp_pUYyir9fZkW7wCMk_WF0B0VBomME7cCtBw=w54-h54-p-rp-mo-ba5-br100","Siddhesh Gupte","Local Guide · 371 reviews · 341 photos","","","6 years ago","Great institutions last long... very long. Founded in 1857.
One of the oldest educational institution in India. Studying in Mumbai University is considered to be a matter of pride","","","Like","3","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXRSQaDbtWJCv50fpVYOjZFc3rxT4JYqjgD0mNrH0meWAxW=w54-h54-p-rp-mo-ba5-br100","Rithul","Local Guide · 219 reviews · 1,225 photos","","","8 years ago","Spoiling students' lives by corruption. Retarded officials govern the institution. Luck plays a big role. Marks are given on random. One point you fail with 20 marks and after Re-evaluation you get 60. …","More","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocIC9BUojZL9L6ePHK0i-or4HC0IfUQ3tTa7iLTiOcwMuc8=w54-h54-p-rp-mo-ba4-br100","hrishikesh parmar (HRISHI)","Local Guide · 70 reviews · 54 photos","","","6 years ago","Mumbai university has potential to become one of the best university in India.most of students in mumbai are graduating from mumbai university so you can know how much popular this university is(there are few universities in mumbai). But …","More","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXeQaX6hjmKsNkOjcoxGt0ZkBIWl0xzLQiL4PpTiYHDqjY=w54-h54-p-rp-mo-br100","Ankur kumar Prasad","14 reviews · 12 photos","","","2 years ago","It was so beautiful college I like this superb.","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUqjEmJZzvKlOjmkLcxw-TG2B-flrlKHiPFng4nqHS9x3xz=w54-h54-p-rp-mo-ba4-br100","Yogeshwar Dalvi","Local Guide · 35 reviews · 213 photos","","","6 years ago","My experience about the university is worst. I will not prefer anyone to do their graduation from mu, rather than go for private one. The College's connected with university are also engaged in doing unethical practices. Our result of last sem was declared after the 3 months from the date of examination and it's very pathetic....","","","Like","4","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXJz2asyOxISYLUXsAZXI4EjnHA4ZlsfiSHrWHgwvpFPDPl=w54-h54-p-rp-mo-br100","Ayush Mishra","13 reviews · 6 photos","","","a year ago","Decent University to pursue your UG must recommend  Mumbai Citizens to pursue.","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXZtE9BKKzMEYRKq8g_rt1s3cXvLxbBl422aPCtBx6HVH8=w54-h54-p-rp-mo-ba4-br100","Claijohn Kokkatt","Local Guide · 133 reviews · 103 photos","","","6 years ago","A very good University with a lot of courses and credibility. Your one stop place to learn anything you want to under the sun. There are also institutes in the campus to do specialised courses. Staff may not be that helpful but seem to be sincere.","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXDqdKWBTPZ4OMmyLG_uqgsUjJOitx0XtRE0JzCXCUR49I=w54-h54-p-rp-mo-ba8-br100","jojo","Local Guide · 4,159 reviews · 49,679 photos","","","4 years ago","One of the oldest and premiere University having many departments and contributed much to the cultural and educational  field with varsatile  Alumnis. But the 245-acre campus lacked many latest  basic facilities to revamp it as a modern …","More","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUu56jRvb-cDR7ezH_noGE3hv3OmahN2r15a-qNLUxdpyI=w54-h54-p-rp-mo-ba4-br100","prasad sikandar","Local Guide · 110 reviews · 201 photos","","","10 months ago","It is a good university. And query about any type of courses. Visit here.","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUMCSrRdwM39oU3ABIwYdEw9AKyGZzPzvGe3ybG3lBquQ=w54-h54-p-rp-mo-br100","Prof. Harichandan Dhaneswar","9 reviews","","","a year ago","Rajabai Tower Library of University of Mumbai.
One of the best place reading peacefully in a serene atmosphere.","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU3PoGqRoa0NyhH3wjV7c-OBWtFWiZG6Ku-ETy6cKe8OQQ=w54-h54-p-rp-mo-br100","Kunal Shedge","3 reviews","","","6 years ago","worst University ever... pathetic service... staffs are more disgusting behave with worst attitude.. for your simple work you have to come here for more than 5 times.. such a pathetic behaviour from the staff.. you should have to change the management and hire some literate people and sack this nonsense people... they deserve this🖕🖕 …","","","Like","44","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUJxPuQ_Udc0pSOeiuYk8-TDNq3-X6aWVSg_R3cVe1hgWY=w54-h54-p-rp-mo-br100","Rasika Joshi","1 review","","","7 years ago","Mumbai University is very old University. It is ok. But  I am seeing that oldness in work also. MU people are not giving any response to phone call.
With less responsibility their hopes are very big.","","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocKRCz7DYwzQArFjUy92Kv5mXhJMI7k4_tpey-ewxkEC=w54-h54-p-rp-mo-br100","Rajesh J","13 reviews","","","7 years ago","Heart Breaking to write this that university today is not what it was ages ago.

Don't go by the stats, but this university has several irresponsible people and …","More","","Like","4","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocILJpeVa2BcwlCQ6PlluzEB8FNs1nW-hJWGPAtKJ1H0=w54-h54-p-rp-mo-br100","Khushbu Gaud","13 reviews","","","a year ago","University of Mumbai campus is very good and it's look like University of London by architecture","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVyiuXMNDT05IkPYQqMjX69sI3gwghDutRbqVH0XM6d-w=w54-h54-p-rp-mo-ba5-br100","VIJAY “LOVER TO FLAOVR” ga","Local Guide · 107 reviews · 59 photos","","","a year ago","Ola mumbai University  but structures is very good and more facilities this university .  Every year changed university .","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUrA1KyXEGoB9O2YyvJg_Tzp0OEkqtSIziIID5jm13RBg=w54-h54-p-rp-mo-br100","ashish tiwari","6 reviews","","","a year ago","Great place to visit best education we have in house hostel you get different departments and great support for students","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUzxAYWOtLJGKZjGVF8LsbCoJr2YZrP0VURDWV-bU-gjXg=w54-h54-p-rp-mo-br100","Priyanshu Rai","11 reviews","","","6 years ago","Worst place to take any degree from. Worst management. Least student-friendly. Blunder mistakes during examinations, results due to which students suffer all the time. Extort money for revaluation everytime by failing indiscriminately any …","More","","Like","6","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU_gf5ey_S7YJeXxl0xHLrEY3wGcLzV3oDLHFUkVZ8BDdJW=w54-h54-p-rp-mo-ba5-br100","PRATAP KUMAR","Local Guide · 139 reviews · 361 photos","","","5 years ago","The profile of this University carved out in 161 years of its functioning attests to its manifold achievements as the intellectual and moral powerhouse of the society. The University has always given its best to the country in general and …","More","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocKAb6tT1ChnoTWUVAPskzIZQyZiuhJFnL-DlFrctxoUOmY=w54-h54-p-rp-mo-br100","Bijal parekh","5 reviews","","","5 years ago","The Call center service is down for almost 3 months now and for small small query students have to go and visit the campus. Also they dont provide information on time and the staff of specifically IDOL university is very arrogant","","","Like","11","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWIZxfb1Rs5BXx-qdrIn0Y8qENsEyOMhnLzcdCcQr2feP8=w54-h54-p-rp-mo-ba3-br100","Subhabrata Ghosal","Local Guide · 52 reviews","","","a year ago","A place for great education. Their teaching, environment, placement assistance everything is very commendable.","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocLCIkR8r7D3B95sSDjC6P5rQdPXqx0YRnsf3TX59fjg=w54-h54-p-rp-mo-br100","Sameer Bankar","3 reviews","","","6 years ago","If you have enough money in your pockets then shove it down the throats of the fourth grade workers who work here, your work will be immediately done. This place is a breeding ground for the corrupt, asinine employees who would be kicked …","More","","Like","5","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWGTEj9392RbuPIqGqI75RqIeo8qAe6k6MMi6qoCWaXRmRZ=w54-h54-p-rp-mo-br100","MILAN ZATAKIA","1,296 reviews","","","6 years ago","Bombay university was at one time the pride of India. Now only a patch on its past. Needs radical reform and ideally privatisation if it has to compete with the rest of India or the world. Poor teaching standards and a high degree of …","More","","Like","4","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUI9pK8SYaujjw9AzfhAZLlDIs4ZbupA5v-OZ24-8DT61J5=w54-h54-p-rp-mo-br100","Danish Ansari","156 reviews","","","5 years ago","The University of Mumbai (known earlier as University of Bombay) is one of the oldest and premier Universities in India. It was established in 1857 consequent upon ""Wood's Education Dispatch"", and it is one amongst the first three …","More","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXD9SdhyPr4wvMTFInsRo-bVKzFUN3FPWqLt6wy29yI_nxB=w54-h54-p-rp-mo-ba7-br100","Mohd. Husen Shaikh","Local Guide · 159 reviews · 11,917 photos","","","4 years ago","The University of Mumbai is a state university which is formerly known as the University of Bombay. University has two campuses in Mumbai Kalina and another one in suburban Mumbai.  In addition to several 60 university departments and more …","More","","Like","3","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVi51vga4TZt1jndzix_YV7BAT9VD6DpR42PF-aTGAM5Q=w54-h54-p-rp-mo-ba4-br100","Ankitkumar Yadav","Local Guide · 69 reviews · 168 photos","","","11 months ago","Why mumbai university exist 😤😠😠😠
The reason of give one start is because there is no option for zero start 🥱🥱🥱 …","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU1VB97G8Vqg8j8kL7UZfye3EALO3xYMWDmCSwDesXys40=w54-h54-p-rp-mo-ba3-br100","Sangharakshit Kadam","Local Guide · 25 reviews · 20 photos","","","6 years ago","One of the largest university in the world, birthplace of so many famous talents. Too much scope for doing so many good things & improve current bad practices.
Hurt to learn about financial condition & govt's ignorance. University breaks 111cr FDs in 17 mnths.","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjURIhd7QPNcMLePV-sxSe_EMo1S77z6B_-MjYXu7mPdeME=w54-h54-p-rp-mo-ba4-br100","Ketan Narayankar","Local Guide · 145 reviews · 85 photos","","","4 years ago","Construction of all the building are very old. Not a proper arrangements of documents. Staff is not that good. If you belongs from engineering background then ask for mahatama phule building. From kurla station you can get shared auto(25rs/perperson) for vidya nagri . Buses also present there bus fair (10rs).","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV1wNsRkB_E3TI_QtzfakbIrNvOczZ8x3O2JoKr95cCYA=w54-h54-p-rp-mo-br100","Andrea D","4 reviews","","","6 years ago","Horrible.. Horrible place ever... They earn by first failing students and then collecting money in the name of revaluation… Also, by making idiotic rules so that we don't get our refund & they can just enjoy on our hard earned money… Bloody …","More","","Like","73","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUgRojkwSjkkqkAKRZY7D3SsVkEOIKkKcfM6YnaNrTckmQ=w54-h54-p-rp-mo-ba3-br100","Pradeep Saroj","Local Guide · 39 reviews · 46 photos","","","5 years ago","Over all worst experience in MU..
Staffs are careless,
They are just waiting for government salary in university.. …","More","","Like","4","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV3Bz2I9wlMwO6lH0idTolurd9CLBcijFGLjGreAO2n5XgQ=w54-h54-p-rp-mo-br100","JoPe Ro","3 reviews · 5 photos","","","11 years ago","MSc results have been out since the last 2 days (June 4th 2012) and students are unable to view the marksheet on the University's website. Mumbai University being world renowned should ensure that systems are perfectly in place.","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocIoSeb0MO_2cXp0W0fBYZL0SKchV6uMHrK_91HqiAMa=w54-h54-p-rp-mo-br100","Praneeta Devrukhakar","9 reviews · 1 photo","","","7 years ago","Very Bad....our TYBAF result 2016 is not yet out. Its 3 months past our exams but still no reply about results. Students are waiting for results for their further admissions but the university is not bothered about it. they are making us suffer don't know why......but....This is not done.","","","Like","3","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVv7mOKJ1R8_ANBq4InprPYHPRcDwyim-vOSJdUJyGRRfk=w54-h54-p-rp-mo-ba2-br100","Dipesh Barot","Local Guide · 20 reviews","","","6 years ago","The people @MU (specifically 1st floor, room 24 of Pariksha Bhavan) are hopeless!!!
They do not know how to talk to students and their parents. They are least …","More","","Like","3","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW1FIy8_Sa8SyYDydFoJwPbQ2wKdgjO-xqxJL_IpoUduZ4=w54-h54-p-rp-mo-ba3-br100","Mohanish Acharekar","Local Guide · 35 reviews","","","2 years ago","Visiting Mumbai University is a nightmare. The staff here is so arrogant and they do not even answer properly . Forget about the calls, they will never answer and visiting the university is even worse ..","","","Like","5","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW-FiAuQGRhlSSFiBU02PbXBah4X2aCBCLQQMDorABTOgE=w54-h54-p-rp-mo-br100","Harshal Ramraje","1 review","","","4 years ago","worst University please if anyone is planning to enroll in commerce fields from Mumbai University please dont even think of.They just work for money thats all you might get failed in any exam which you might have done the best in just soo that you can put the subject into revaluation and they can earn money","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVcB22XU4eGAN4Qk0wOqrSQcWK7yY41nCeH-_F4Fs_W5Qrl=w54-h54-p-rp-mo-ba6-br100","Aditya Mhaske","Local Guide · 209 reviews · 900 photos","","","6 years ago","The Kalina campus in suburban Mumbai covers an area of 93 hectares (230 acres) and houses graduate training and research centres. Departments offering courses in the sciences, technology, commerce, and humanities are located here. Most …","More","","Like","11","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU-k0i8odhSH-Lh9q3nRq6mDa8aS67CeBf4xLVBdqLIQmU=w54-h54-p-rp-mo-ba3-br100","Sufiyan Shaikh","Local Guide · 18 reviews · 10 photos","","","7 years ago","The education system is very low. Students may get higher grades but their IQ's are almost ZERO. It controls all the colleges in Mumbai and they need to improve the education system","","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXxX5WOLItUzBbNowXQCe3atBGEAfvK3aiB2JQ5YBf8HA=w54-h54-p-rp-mo-ba4-br100","Zaid Khokar","Local Guide · 29 reviews · 12 photos","","","6 years ago","Worst Management. Its More than 3 months and they still haven't declared 3rd Year Degree Results.Who is Responsible for the Students who have lost their Admission Seeking Further Studies after Graduation?.","","","Like","5","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVqcU-L4TgiykI1BI9V4JcbvyJhZfH2-HKJkS3m9vJA1aQj=w54-h54-p-rp-mo-ba4-br100","Aditya Panchal","Local Guide · 45 reviews · 61 photos","","","6 years ago","They never tell you the complete procedure for anything you requested.. you probably have to come twice or more than that to get your query done... The staff here are not very kind but also not very hard.. there is a stationary nearby but I …","More","","Like","7","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWmup3qET3qJ4uOkR3cwdjtZFAtEAJVetGzb5M0yagrcxcA=w54-h54-p-rp-mo-ba2-br100","Siddhant Pawar","Local Guide · 4 reviews · 30 photos","","","6 years ago","Worst university this year papers of sy civil are so tough. University change whole pattern of paper if university k members ko bhi paper denge na then i bet kisi ko bhi 29 marks bhi nai mile MU is one of the worst universities in India. MU don't even deserve that one star","","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU9WtEnI_JgmcnYWWF_1JNQeHfBHKW85Ym_ber53ys9Sn8=w54-h54-p-rp-mo-br100","Arti Sharma","7 reviews","","","a year ago","It comes in India's top university, take admission here & grow your life in the way you own","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWJGYgR1YSwoO6_xZUoaC_UgO2Q4o8vOOspAQpse-B1MuE=w54-h54-p-rp-mo-br100","Rinetto chan","1 review","","","6 years ago","Had my MSc. Sem II practical exams in University Department of Computer Science, Kalina, in May 2017. Everyone was copying but the examiners didn't say or do anything. It's really annoying to hear my classmates brag about it and tell me …","More","","Like","9","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUZoop29O4mpybDo1SsTPIbRKoz3VC89LFXns1aSVaigikG=w54-h54-p-rp-mo-ba3-br100","Dinesh Achari","Local Guide · 31 reviews · 36 photos","","","6 years ago","I used to be a quite enthusiastic about studies till I graduated from my college getting good marks,being the head boy et al.
Untill life took a turn on me, I joined Mumbai University for my masters, I …","More","","Like","4","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVDb14d7iHMuB_uFAi6x6LQjVVhgKUAdWo2LmkS8-xCfiI=w54-h54-p-rp-mo-br100","Saloni Nath","3 reviews","","","5 years ago","Everyone working at Mahatma Jyotirao Phule should be fired and replayed with a half decent IT software. The most incompetent people work here, they don't care for the students, and love to waste our time by sending us round in circles to …","More","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWYAsFvIhJUTMznoun8mPJuAvsFa3LsKPamuF_8j1JMwQ=w54-h54-p-rp-mo-br100","Zeph Jaz","2 reviews","","","4 years ago","Started hating my life after I got in this university. Cause of late revaluation results, I'm just in this huge mess, while my next semester exams are still going on side by side. …","More","","Like","7","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWxhDUWeeE3gVBdr8YbiL31-Suvbt5ruq3pL0UY7bmwfg=w54-h54-p-rp-mo-br100","Chanda Gupta","11 reviews","","","7 years ago","I am calling at university  since 4 months but no response...after visiting to university found that staffs are not helpful.... their mistake while printing my result but then also they are not ready to correct it...taking too much time for …","More","","Like","4","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocIBsd0CXaybig--vXH2eMKwCrWLwUSH_VCBwFHAbSkN=w54-h54-p-rp-mo-br100","Kuldeep Gunjate","6 reviews","","","6 years ago","Bad management especially with result section.

Contact no. Provided did not help at all. …","More","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX2oDw_jhJsr_ngMFvj_JstZKyU0ni6eP7X7yqc_dwiXA=w54-h54-p-rp-mo-br100","Rinky Singh (RiRi)","4 reviews","","","8 years ago","Excellent university .... I completed my graduation with first class (political science) in mithibai college which is also affiliated under Mumbai university and I completed my post graduation (political science) direct from Mumbai university.. I'm very proud to be part of one of the oldest & brilliant university of world .<3","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWvKD4aONpcpkSwUTyWej99QK9tFJvd1j5MNtT-efzj244=w54-h54-p-rp-mo-br100","Akshay Patil","4 reviews","","","7 years ago","Worst university in india. I would give 0 star if possible.Requesting students not to take admission in this university filled with corrupt and uneducated staff and workers. For only admission process i faced many problems. then cancelled my admission and taken admission in ignou university.","","","Like","6","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJ_yLR1Kb3mKiM73BkR5rksq2nIraBWoqbjTplacwncpkM=w54-h54-p-rp-mo-ba2-br100","Tanmay Patil","Local Guide · 13 reviews · 6 photos","","","5 years ago","My atkt exam was on november 2017 its been 9 months from exam i didnt get my 6th sem atkt marksheet though i am sucessfull the management is blaming on college and college people are telling my marksheet is in mu who is responsible for this …","More","","Like","6","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWGSrRckQmmNtUNKb49gjGkmEXNHtQqbHcjmCqzCG-ZBt_A=w54-h54-p-rp-mo-ba5-br100","Aalia O H (Aalia H)","Local Guide · 158 reviews · 690 photos","","","6 years ago","The University of Mumbai has a large and beautiful area full of greenery.
The Area is soo big that there are bus stops and rickshaw stand inside. …","More","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWcVlzgSUoEmX9JS9VsaNGByr-tPw0jqoFzaqhCjGDQ3ym1=w54-h54-p-rp-mo-ba4-br100","Ajaikumar Nadar","Local Guide · 28 reviews · 434 photos","","","6 years ago","quiet and peaceful place with full of greenery in the Mumbai university compound.. love it.. you can visit this place for studies as well.. this Mumbai University has both regular and distance learning facility....","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJI0yjUtdfhkNsjHUB-otUO0PCU_GGlOIpGtmlKiTd4=w54-h54-p-rp-mo-br100","vinay bakale","1 review · 1 photo","","","6 years ago","They do not bother the future of students. They declared me fail for one subject of my final year. When i received my photocopy i came to know that first 14 pages were missing from my answer sheet. I have written 50 marks content in it. …","More","","Like","11","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUYs7hE930dceSj26Nq23GO2MnybDXRyhQQ_BDnb2ZLZsMF=w54-h54-p-rp-mo-ba4-br100","Sahil Singh","Local Guide · 45 reviews · 385 photos","","","6 years ago","The university has lost it reputation and ranking
They are not able to provide quality education to student
The degree college final year results are not yet been declared after 3 months ago exam has finished.","","","Like","4","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWu0o0n4ieyBPUucKXf73cIoQEwSCPPMpy8T9vkLDFV3g=w54-h54-p-rp-mo-ba3-br100","Nikita Lodha","Local Guide · 19 reviews · 61 photos","","","2 months ago","Nice architecture of the building..","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocKUxFpjegvFWdJqio0wDSxI2co3H0npOi9FopxbkfeB=w54-h54-p-rp-mo-br100","desai harmony","1 review","","","4 years ago","giving one star because there's no lesser or negative then that. Such a worst service for the enquiry. From last 6 months i am trying to contact them to ask about my result of mcom part one.  I have lost my Hall Ticket so wanted to know how can i get my mark sheet but there is no response at all. Can anybody tell me how can i get it ?","","","Like","8","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJIVUAoihsaTAkNUiPsxO5qwiCNVN6gL-w9Idk3u355ZQ=w54-h54-p-rp-mo-ba4-br100","Sejal Tiwari","Local Guide · 39 reviews · 227 photos","","","4 years ago","A place with good space, best education campus, clean and green, every road has sign board and people are always helpful to guide... It has canteens and libraries, botanical Garden and many species of plants... Uh can reach easily by …","More","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWhSada36W7fVu0J-BLMx2mIOSvmAdtmch3_N3TTkgcQcjk=w54-h54-p-rp-mo-br100","CREATIVE MAN","5 reviews · 1 photo","","","6 years ago","Mumbai university  are you interested in making the energy by gravity defying bird or sea waves  if yes than who will becomes responsible for this task i seen so many video on this topic and very much exited for making energy from sea waves …","More","","Like","4","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWQ39xkZoNC7WqslLN9zRMypm9oy3tI1WEmW1j4E4bqSwY=w54-h54-p-rp-mo-ba2-br100","Genesis Babru","Local Guide · 11 reviews · 2 photos","","","6 years ago","Has never thought of declaring results early,no prompt action, these guys are always in trouble due to something or the other, if you give your papers for rechecking! Beware you are not going progress by any marks other than that they will fail you , always eager to do the easy job that's failing students","","","Like","5","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVvOSiTpBJZ0Yshi3xT3yBp3IfIsj7sXvHUOl0RTE_7MYw=w54-h54-p-rp-mo-ba3-br100","karan chavan","Local Guide · 43 reviews · 3 photos","","","5 years ago","Indias most famous University offering education system in multiple streams.I have completed my bachelor of engineering from this University.Exams are little bit tough as compared to other universities.They provides many curriculum …","More","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW7T5B_LyjCUemjpwK8egMJsWbxliXuOQmas9cfB58ty-MH=w54-h54-p-rp-mo-ba2-br100","Sanjana Mathapati","Local Guide · 23 reviews · 24 photos","","","6 years ago","Very disgusted with MU's performance. Being an institution for education they are not bothered about the future of the students AT ALL! The declaration of results has been abnormally delayed and this is UNACCEPTABLE! …","More","","Like","8","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW3SqpBrXHvxQrL7pxT1md9t0GOUpQoRoB3eBFm6j-Xc2A=w54-h54-p-rp-mo-br100","shah bilal","7 reviews","","","9 months ago","Worst University kept exam on the day of eid like what they ate before making the timetable","","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJjXboebtqDacbLsY2B84UTMI-8hygRtgKebZXcHvsT=w54-h54-p-rp-mo-br100","Parag Kale","146 reviews","","","a year ago","Most of the departments of the university have gone to Kalina. Only the convocation hall and some skeletal staff functions from Fort","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocIZrCcMuyYSZ3YZmF_y8If9aYuyCmi6Ztj398LV4SXz=w54-h54-p-rp-mo-ba2-br100","Nilesh Kulkarni","Local Guide · 15 reviews · 1 photo","","","6 years ago","Horrible place to study...  Believe me am studying here and giving my exams for entire month.. Probably have a world record for taking the longest exam in the world. Also major source of revenue is by failing students and then passing them …","More","","Like","11","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU-9mN4M0f5FaDe8-itYitLSVLW5aNwR9GJSr080NbKW5Bg=w54-h54-p-rp-mo-ba8-br100","Thirunavukarasu","Local Guide · 969 reviews · 193,520 photos","","","5 years ago","In accordance with ""Wood's despatch"", drafted by Sir Charles Wood in 1854, The University of Bombay was established in 1857 after presentation of a petition from the Bombay Association to the British colonial government in India. The …","More","","Like","5","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWvRyy1uXiWCGFcxEMRbHxAwH9n7Q2Z-2yQsi9VoZ6XVPs=w54-h54-p-rp-mo-br100","Faisal Ansari","5 reviews","","","6 years ago","Pathetic University, i would suggest if you can move to another university and study then please go, don't study here. this university is pathetic, they don't know how to work. they only know how to take the exam but they don't know how to …","More","","Like","7","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocKDLGmOipD_BmHauucDBfeZ77la8qDPCA3fB0KKEl9hLQ=w54-h54-p-rp-mo-ba2-br100","Pravinraj Nadar","Local Guide · 8 reviews · 2 photos","","","6 years ago","Must Say "" Worlds WORST University "" whenever MU comes in my mind , the education system never let us know anything beyond writing papers ,its shihhty rules of 8hrs dily lec(for engineering) & then expecting us to do assignments & also …","More","","Like","5","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVAyKrcLD7V3Ces39PCoAzdiLgM41HBoWgOmpp88dhZY-8=w54-h54-p-rp-mo-ba2-br100","Harish Salian","Local Guide · 24 reviews","","","a year ago","One of the best and oldest university.
Lot of good courses being offered here.","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWUYN6lOWgvuW8WZ8nPM4TWZqWe4BnD728HSz8tu7YYhHw=w54-h54-p-rp-mo-br100","Himjal Pradip","7 reviews · 6 photos","","","6 years ago","One of the oldest and prestigious universities of India. The campus is so peaceful and calm, you don't feel like leaving it at all.","","","Like","3","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocLNFWH4_swAyQjSha77ptt4trZFxxHVw-lBgrd7VocY=w54-h54-p-rp-mo-br100","Chaudhary Farheen","4 reviews","","","3 years ago","Worst service given by staff .... 1st of all they don't have manners to talk and that negative faces they make when asked any question by students...Secondly their work are very very slow...its been a year they haven't changed my name due …","More","","Like","10","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWqxbrKpogCjGfBLNTHRzAbjyovRF6B1wuDoFeTc48sTm4=w54-h54-p-rp-mo-ba5-br100","Bhavin Shah","Local Guide · 380 reviews · 503 photos","","","6 years ago","Mumbai University where all the colleges get affiliated. however they need to revamp the education system with more technology driven and student centric.","","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWnHSMq8z4X3-FXDOsWOgL28tgKxmxK9ailf2Bwf-vjtw=w54-h54-p-rp-mo-br100","Sanket Singh","7 reviews","","","4 years ago","Worst Management ever... I went for llm admission today had to stand in line for 4-5 hours and it did not even get done... I'm sure primary school is better managed than this university. They don't have online admission, all students have …","More","","Like","9","","Share","",""
