"NBa7we src","d4r55","RfnDt","eaLgGf","hCCjke","rsqaWe","wiI7pd","w8nwRe","dSlJg","Hzvxle","pkWtMe","dSlJg 2","znYl0","uEubGf","bC3Nkc"
"https://lh3.googleusercontent.com/a-/ALV-UjWrzPDWqxvAoc_iHJccxGgebytdS5axY37ZV35VcNp2ANc=w54-h54-p-rp-mo-br100","Nilesh Jagdale","2 reviews","","","5 months ago","Very bad University everything in this university not working properly even we can't contact them we have to visit it offline .The university staff is so lazy and not working .The all contact numbers are only for entertainment not even …","More","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocIFgIfR4sfFXaKkHkoKxAmZwLe-oTKssEDS8roURC2p=w54-h54-p-rp-mo-br100","Sanket Pednekar","1 review","","","7 months ago","Worst worst worst !!!!!!!!! Mumbai University is delaying students for their results & exam. I have given my exam almost 4 months back still not yet received result. Pls declare the result of last year students who wanted to pursue job or higher studies they are waiting for the results.","","","Like","4","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWvODb-sV3gXbLvt-hcQHcIuWltD37zpvGVIeb4ibck_AM=w54-h54-p-rp-mo-ba4-br100","Siddhant Bharadia","Local Guide · 227 reviews · 33 photos","","","a year ago","University of Mumbai. One if the best universities if Maharashtra. Has all streams of education. Also a good heritage site. Must Visit.","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUgag1pXhynA_SLxs54W3tr21kB6uouq9LgM2fLM7vf28VD=w54-h54-p-rp-mo-ba5-br100","Subhash Jagtap","Local Guide · 120 reviews · 560 photos","","","2 years ago","My favourite University. Good teaching and Non teaching staff.","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXZOL2UXvRSDMW819YFY04SupDQUnGOk6OI9w8XmAtgSQc=w54-h54-p-rp-mo-br100","Ateeb G","6 reviews","","","3 months ago","The most delayed university ever scene.  The revaluation results are not out and there is exam tomorrow","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocKGEMxw24HbBZ7-EcpGYQaAkKrVojAqHaZenL_vbcI=w54-h54-p-rp-mo-ba4-br100","Amit KK","Local Guide · 76 reviews · 145 photos","","","5 years ago","I am a proud student of mumbai university,Very peaceful place ..great place for exploring knowledge , green cover makes u forget the city outside the compound...","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVf80ZLgZu0oSyl9tD549x9aoXVK8pxKfNK8TrXG9b73Q-k=w54-h54-p-rp-mo-br100","Abhilash Sahu","4 reviews · 2 photos","","","8 months ago","The worst university in india..saying by personal experience..the staff committee is worst..no one is helping there everyine is doing just timepass..the numbers which were on Google are fakes..i tried 100 times on every number no one picked …","More","","Like","3","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWZrFK4RgO6D56ONK5ZqNDBhZkBtn65tP95BPo6ct5vN3o=w54-h54-p-rp-mo-ba4-br100","Harshit Raj Tiwari","Local Guide · 115 reviews · 52 photos","","","a year ago","University of Mumbai campus is very good and it's look like University of London by architecture","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV2lBGiZvVBGCINtzjLzcniV9B1zNEiwtYNrtHpoEj765sG=w54-h54-p-rp-mo-ba3-br100","Suresh Kumar","Local Guide · 16 reviews · 19 photos","","","7 months ago","college have all necessary infrastructure facilities and equipment and these are very good condition Yes classroom are very big and also have laboratory, library and also sports center. And also provide WiFi in laboratory.","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU2zNOkq2gdeaK0P8Sy5lCcFZKZlrk0KimHrRXI4SV6QoM=w54-h54-p-rp-mo-br100","Prasad Swami","15 reviews","","","3 months ago","Tbh this University sucks, nightmare if you have any issues regarding your marksheet.","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUsSZKdu1wi7GpfHNNxae0cZmN4DYYQ_gsEdlXVDxjwsiw=w54-h54-p-rp-mo-br100","soham Murkar","6 reviews · 27 photos","","","9 months ago","All the clgs under  mumbai university is just to take money even university is also not in student favor they are telling clgs to complete syllabus in just 2 3 months . …","More","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocKqG1A7zwFah6iC1_0NiQmxmXqNmcvXcXkI0KYz6gGF=w54-h54-p-rp-mo-br100","Abhinav Neeraj","5 reviews","","","10 months ago","The University of Mumbai, an esteemed institution with a rich history, holds a significant place in the Indian education landscape. My experience at the University of Mumbai has been a blend of academic rigor, cultural immersion, and personal growth.","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUpHKONAwrgWCet0gJDsW_lHbk7kGNf5DHsrbGjIP5CEHR-=w54-h54-p-rp-mo-ba5-br100","Subham Kumar","Local Guide · 128 reviews · 354 photos","","","5 years ago","The university of Mumbai is one of the oldest University of India and the first University in Mumbai.. Many bachelor and master programme are taught here... The cut off is generally high between 93-95 percent.. The local people of …","More","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV0a5_ReT3h4tQ5wib26-QlW6yZFTV6Wasx9pB3YC0_7s3U=w54-h54-p-rp-mo-br100","Sa tish 97","177 reviews","","","8 months ago","The University of Mumbai  (known earlier as University of Bombay) is one of the oldest and premier Universities in India. It was established in 1857 consequent to 'Wood's Education Dispatch drafted by Charles Wood in 1854.
If you want to go take riskshaw from Santacruz 20rs sharing to University","","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVO4l83Lswjrb2iTRHDzSQJ7QDxhWwGYUnfu149PaaY2HQu=w54-h54-p-rp-mo-br100","Sanskruti Patil","1 review","","","5 months ago","Please don't play with students life Very bad University    .The university staff is not working .The all contact numbers are only for entertainment not for work.They don't take students seriously because they only want money","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU3N9fIVc6dX7FHiVpPUu35WghmA-nOyA6OFOleyESrpyQ=w54-h54-p-rp-mo-ba4-br100","StudentsFM","Local Guide · 74 reviews · 44 photos","","","a year ago","Best University in our country. Neat and clean campus. Well maintained the heritage property kept in good condition. Located near kala ghoda. Canteen is also available in the campus. One of the main education hub in the Mumbai City.","","","Like","3","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWQqz70JbjSOKwWovpPKOhwDmPW_bp3Kuuzhb5eSxzhZtw=w54-h54-p-rp-mo-ba2-br100","sumit arya","Local Guide · 16 reviews","","","a year ago","The University of Mumbai is one of the oldest and premier Universities of India and oceanic view, I am honoured and greatly privileged to lead this great Institution, The University is committed to create and maintain world class facilities, and create knowledge in the frontier areas of human understanding....","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX_HO4tzkS2AL0h1nwwSxjBYt6IxkCAuIdDXCzPttb7KxU=w54-h54-p-rp-mo-ba5-br100","MAHAVIR MANDOT","Local Guide · 133 reviews · 576 photos","","","a year ago","Clean and good place. Old sculptures.","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUhQ0Td52VApOII4IrtzRXj30Il93fUJrJdmYJDxjvWVCX4=w54-h54-p-rp-mo-ba5-br100","Ramesh Lalvani","Local Guide · 85 reviews · 1,169 photos","","","6 years ago","Modernising. Most contemporary anyway!

Great Campus matches BIG DATA! …","More","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocKEczhDGUdmS9yuZyJBRiQwSBZlUfzTpHn3jOXi5hvg=w54-h54-p-rp-mo-ba4-br100","rahim bhamani","Local Guide · 180 reviews · 75 photos","","","6 years ago","Getting worst day by day but hope it'll be better on day..... plz check some snaps about  courses available at mu.","","","Like","3","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVtaw3boCNHr3i9GvSmGa7Jo-8c4vZnyamRB-sSAsZcLoXb=w54-h54-p-rp-mo-br100","Rahul Suryawanshi","3 reviews","","","4 months ago","Worst University experience. Always missing answer sheets of thousands of Students in every semester.","","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVjDi-ZVbMveSWux8jydg0nlIG4f8JUGmbjwFGu1i8O8w0=w54-h54-p-rp-mo-ba4-br100","Abhit Chavan","Local Guide · 69 reviews · 208 photos","","","6 years ago","Staff behavior is not good..but the campus of college is Awesome..Fully Greenery Surrounding..👌👌 …","","","Like","5","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWu9lYfqAq296IqP8_o7EuhU7DwI2oy2Ko2jNDYr33BkFg=w54-h54-p-rp-mo-ba6-br100","R G","Local Guide · 264 reviews · 1,762 photos","","","2 months ago","🏫🏰 …","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUZDfLf9TH2Zkq9tdOfAsztSCrKa6Z6AJsQP29P3b70ufWn=w54-h54-p-rp-mo-ba6-br100","Unmesh Zagade","Local Guide · 103 reviews · 1,570 photos","","","a year ago","University of Mumbai is one of the finest educational institutions not only in Maharashtra but also in the entire country. Students from across the country come here to study at this great institute which is more than 150 years old. The …","More","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW4Zpj1rchZYw2lzI61ctZG6jZiou7X5nRm41SieKxLOaA=w54-h54-p-rp-mo-ba4-br100","Shekhar Gaikwad","Local Guide · 103 reviews · 194 photos","","","5 years ago","Nice and calm place.... Good place to spend time in alone or with friends. Huge campus.","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVD3NWaoChsX7iAzPzrnmtd9SHP3bM9MbHAdlMvafHDKKSm=w54-h54-p-rp-mo-ba2-br100","Amit Kumar","Local Guide · 15 reviews","","","a year ago","University of Mumbai is more like University of London... Great work done by Britishers, heritage value, so spacious and cleanliness maintained such a great place to do graduation or post graduation.","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWXw0btXrDG9X7hz7m16RKhgXTz2sAt3PpDm7xaHEHxuw=w54-h54-p-rp-mo-br100","Shanti Ganapa","6 reviews","","","a year ago","Best college. Teacher's are very cooperative. Practicals conduct on daily basis. Just amazing university in all over Maharashtra.","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjURwT_nR4waMhUsGBnFGAIeqcWzHPe7HBYi09hr3zew3ks=w54-h54-p-rp-mo-ba3-br100","Surendra Khangembam","Local Guide · 17 reviews · 64 photos","","","a year ago","I didn't have any experience at this place..but i shared the photos that i took at Night","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWfVkblMRq4Kk7Wc-zDTG4I53Yk2jxcY7D_3PUcxl7mztU=w54-h54-p-rp-mo-ba3-br100","Dr. Sumeet Patil","Local Guide · 58 reviews · 64 photos","","","6 years ago","It was Convocation Ceremony of the University of Mumbai on 22 February 2018 wherein I obtained my Doctoral Degree- Ph.D.","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUUC4p0D_gSdOn0dUyOlSdXW2gRqgAvu1ICnfCbKtXJvWUQ=w54-h54-p-rp-mo-ba4-br100","Prasad Govekar","Local Guide · 46 reviews · 202 photos","","","6 years ago","Really disgusting management...  Staff.. Full of attitude...  So much slow work...  Still some graduation result not declared...lots of pending student issues...","","","Like","14","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXNDpzOXEBmvKJdXtJZ9b_9FtmddBy-PBy92EgjiPHFi90W=w54-h54-p-rp-mo-br100","Sonu Bhati","11 reviews · 28 photos","","","a year ago","Best place to education
Best institute in Mumbai I have every seen","","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocLB6khD6G0IXK4JuhTttwrhlniL8YhGcNRIFMqgizsL=w54-h54-p-rp-mo-br100","Safana Shaikh","4 reviews","","","a year ago","I wish i had and option of not giving a star, we mcom students are waiting since 3-4month for our sem 2 results, I really don’t know what this university people are doing with it, there are soo slowww, other universities have already …","More","","Like","9","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocKwEc19hXXbHf_r13Dv0xgLk92kqp5cxTmI_ZgmWCjweg=w54-h54-p-rp-mo-br100","srinivas seenu","11 reviews","","","a year ago","The University of Mumbai, informally known as Mumbai University (MU) is a collegiate public state university located in Mumbai, Maharashtra. It offers bachelors, masters and Doctoral courses, as well as diplomas and certificates in many …","More","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJPCLU05cDpdElerBn1sUE4-D_PS0HZXrOGafJIelLN=w54-h54-p-rp-mo-br100","Riya Rawool","2 reviews","","","a year ago","Hi Mumbai University,
TY Bcom student
After two year  exam semester IV. So i request you, …","More","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUD6Qp1optk-is5Uzc1FeihKFWC0CZ6tv1tDDZbnhxMDg=w54-h54-p-rp-mo-br100","Mirwais Ziar","2 reviews · 4 photos","","","2 weeks ago","It is very good place in india","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocIlsPaY-f7Ilcx8_4mcqFxnITf_SR64dRbATs9SMZc9=w54-h54-p-rp-mo-ba3-br100","Ashish Shukla","Local Guide · 95 reviews · 15 photos","","","7 years ago","Nice place
Peace environment
But outsiders are not allowed to visit","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJXhtwuuyMQ9HE0X970AgEVyfT8bEJJjYs_IWL_FHc0=w54-h54-p-rp-mo-br100","Adarsh Dwivedi","6 reviews","","","8 months ago","One of the best university of mumbai ... facaulty and infrastructures and atmosphere of study .. everything is prfct..","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocL0g-WJ9M0yVNLnAANor-mVMaDueEkhgl1TNDRAT7K6=w54-h54-p-rp-mo-ba3-br100","Prudvi Raj","Local Guide · 12 reviews · 30 photos","","","a year ago","One of the oldest University in India. Location is awesome just few hours drive away from beautiful oceanic view.","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJcE1ta5nxSLnifekwTqgo-Gq3cNW7kPRIk9E82s-c=w54-h54-p-rp-mo-br100","Vaibhav Khobragade","13 reviews","","","a year ago","The University of Mumbai is one of the largest universities in the world. It has a reputation for excellence in sporting, cultural and outreach activities.","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWvBrI8yNwqa095XZqyEHbFg3p1AhMe8JkpambegRuetg=w54-h54-p-rp-mo-ba2-br100","ajju Khan","Local Guide · 17 reviews · 12 photos","","","a year ago","Security is very bad they ask money to entry inside to take photos I have guest from Austria  guest is asking about why this security is asking for money this thing happen on Sunday 26 Feb 2.31 pm or 2.35 pm security guys they are 3 person …","More","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocKwSTu-tVqKUYhNSM5hdbg1iNybumlnEW73LXr-7uKT=w54-h54-p-rp-mo-br100","SD PP","17 reviews","","","a year ago","One of the oldest universities in India, well maintained, highly educated professors. …","More","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJgD1c06mE_mjJiargIUawrp7fZeUd318Y0yq9eW04N=w54-h54-p-rp-mo-br100","Akshay Bhatla","9 reviews · 6 photos","","","a year ago","Has a thriving student culture and offers a diverse range of extracurricular activities, clubs, and organizations. The campus is located in a vibrant area.","","","","","","Share","",""
